dod_final.panel,dod_final.unit_num,dod_final.stub_label,dod_final.year,dod_final.age,dod_final.estimate,dod_final.gender,dod_final.cause_of_death,dod_final.age_code
All drug overdose deaths,1,Female,2016,All ages,13.4,Female,All,0
All drug overdose deaths,1,Female,2017,All ages,14.4,Female,All,0
All drug overdose deaths,1,Male: White,1999,All ages,8.1,Male,All,0
All drug overdose deaths,1,Male: White,2000,All ages,8.4,Male,All,0
All drug overdose deaths,1,Male: White,2001,All ages,9.2,Male,All,0
All drug overdose deaths,1,Male: White,2002,All ages,11.1,Male,All,0
All drug overdose deaths,1,Male: White,2003,All ages,12.2,Male,All,0
All drug overdose deaths,1,Male: White,2004,All ages,12.6,Male,All,0
All drug overdose deaths,1,Male: White,2005,All ages,13.6,Male,All,0
All drug overdose deaths,1,Male: White,2006,All ages,15.7,Male,All,0
All drug overdose deaths,1,Male: White,2007,All ages,16.3,Male,All,0
All drug overdose deaths,1,Male: White,2008,All ages,16.5,Male,All,0
All drug overdose deaths,1,Male: White,2009,All ages,16.4,Male,All,0
All drug overdose deaths,1,Male: White,2010,All ages,16.8,Male,All,0
All drug overdose deaths,1,Male: White,2011,All ages,18.1,Male,All,0
All drug overdose deaths,1,Male: White,2012,All ages,18.1,Male,All,0
All drug overdose deaths,1,Male: White,2013,All ages,19.0,Male,All,0
All drug overdose deaths,1,Male: White,2014,All ages,20.4,Male,All,0
All drug overdose deaths,1,Male: White,2015,All ages,23.2,Male,All,0
All drug overdose deaths,1,Male: White,2016,All ages,28.8,Male,All,0
All drug overdose deaths,1,Male: White,2017,All ages,31.6,Male,All,0
All drug overdose deaths,1,Male: White,2018,All ages,29.9,Male,All,0
All drug overdose deaths,1,Male: Black or African American,1999,All ages,11.5,Male,All,0
All drug overdose deaths,1,Male: Black or African American,2000,All ages,10.8,Male,All,0
All drug overdose deaths,1,Male: Black or African American,2001,All ages,11.0,Male,All,0
All drug overdose deaths,1,Male: Black or African American,2002,All ages,11.5,Male,All,0
All drug overdose deaths,1,Male: Black or African American,2003,All ages,11.3,Male,All,0
All drug overdose deaths,1,Male: Black or African American,2004,All ages,11.1,Male,All,0
All drug overdose deaths,1,Male: Black or African American,2005,All ages,12.8,Male,All,0
All drug overdose deaths,1,Male: Black or African American,2006,All ages,15.2,Male,All,0
All drug overdose deaths,1,Male: Black or African American,2007,All ages,13.0,Male,All,0
All drug overdose deaths,1,Male: Black or African American,2008,All ages,11.3,Male,All,0
All drug overdose deaths,1,Male: Black or African American,2009,All ages,10.8,Male,All,0
All drug overdose deaths,1,Male: Black or African American,2010,All ages,10.1,Male,All,0
All drug overdose deaths,1,Male: Black or African American,2011,All ages,11.0,Male,All,0
All drug overdose deaths,1,Male: Black or African American,2012,All ages,11.3,Male,All,0
All drug overdose deaths,1,Male: Black or African American,2013,All ages,12.9,Male,All,0
All drug overdose deaths,1,Male: Black or African American,2014,All ages,13.8,Male,All,0
All drug overdose deaths,1,Male: Black or African American,2015,All ages,16.8,Male,All,0
All drug overdose deaths,1,Male: Black or African American,2016,All ages,24.0,Male,All,0
All drug overdose deaths,1,Male: Black or African American,2017,All ages,29.7,Male,All,0
All drug overdose deaths,1,Male: Black or African American,2018,All ages,30.9,Male,All,0
All drug overdose deaths,1,Male: American Indian or Alaska Native,1999,All ages,5.7,Male,All,0
All drug overdose deaths,1,Male: American Indian or Alaska Native,2000,All ages,6.1,Male,All,0
All drug overdose deaths,1,Male: American Indian or Alaska Native,2001,All ages,5.9,Male,All,0
All drug overdose deaths,1,Male: American Indian or Alaska Native,2002,All ages,8.2,Male,All,0
All drug overdose deaths,1,Male: American Indian or Alaska Native,2003,All ages,9.4,Male,All,0
All drug overdose deaths,1,Male: American Indian or Alaska Native,2004,All ages,11.2,Male,All,0
All drug overdose deaths,1,Male: American Indian or Alaska Native,2005,All ages,10.8,Male,All,0
All drug overdose deaths,1,Male: American Indian or Alaska Native,2006,All ages,13.0,Male,All,0
All drug overdose deaths,1,Male: American Indian or Alaska Native,2007,All ages,10.5,Male,All,0
All drug overdose deaths,1,Male: American Indian or Alaska Native,2008,All ages,13.5,Male,All,0
All drug overdose deaths,1,Male: American Indian or Alaska Native,2009,All ages,14.2,Male,All,0
All drug overdose deaths,1,Male: American Indian or Alaska Native,2010,All ages,11.8,Male,All,0
All drug overdose deaths,1,Male: American Indian or Alaska Native,2011,All ages,12.9,Male,All,0
All drug overdose deaths,1,Male: American Indian or Alaska Native,2012,All ages,12.8,Male,All,0
All drug overdose deaths,1,Male: American Indian or Alaska Native,2013,All ages,12.9,Male,All,0
All drug overdose deaths,1,Male: American Indian or Alaska Native,2014,All ages,15.9,Male,All,0
All drug overdose deaths,1,Male: American Indian or Alaska Native,2015,All ages,16.0,Male,All,0
All drug overdose deaths,1,Male: American Indian or Alaska Native,2016,All ages,17.7,Male,All,0
All drug overdose deaths,1,Male: American Indian or Alaska Native,2017,All ages,19.7,Male,All,0
All drug overdose deaths,1,Male: American Indian or Alaska Native,2018,All ages,21.3,Male,All,0
All drug overdose deaths,1,Male: Asian or Pacific Islander,1999,All ages,1.5,Male,All,0
All drug overdose deaths,1,Male: Asian or Pacific Islander,2000,All ages,1.4,Male,All,0
All drug overdose deaths,1,Male: Asian or Pacific Islander,2001,All ages,1.6,Male,All,0
All drug overdose deaths,1,Male: Asian or Pacific Islander,2002,All ages,1.9,Male,All,0
All drug overdose deaths,1,Male: Asian or Pacific Islander,2003,All ages,1.7,Male,All,0
All drug overdose deaths,1,Male: Asian or Pacific Islander,2004,All ages,2.1,Male,All,0
All drug overdose deaths,1,Male: Asian or Pacific Islander,2005,All ages,2.2,Male,All,0
All drug overdose deaths,1,Male: Asian or Pacific Islander,2006,All ages,2.3,Male,All,0
All drug overdose deaths,1,Male: Asian or Pacific Islander,2007,All ages,2.2,Male,All,0
All drug overdose deaths,1,Male: Asian or Pacific Islander,2008,All ages,2.1,Male,All,0
All drug overdose deaths,1,Male: Asian or Pacific Islander,2009,All ages,2.8,Male,All,0
All drug overdose deaths,1,Male: Asian or Pacific Islander,2010,All ages,2.5,Male,All,0
All drug overdose deaths,1,Male: Asian or Pacific Islander,2011,All ages,3.2,Male,All,0
All drug overdose deaths,1,Male: Asian or Pacific Islander,2012,All ages,3.1,Male,All,0
All drug overdose deaths,1,Male: Asian or Pacific Islander,2013,All ages,3.2,Male,All,0
All drug overdose deaths,1,Male: Asian or Pacific Islander,2014,All ages,3.3,Male,All,0
All drug overdose deaths,1,Male: Asian or Pacific Islander,2015,All ages,4.1,Male,All,0
All drug overdose deaths,1,Male: Asian or Pacific Islander,2016,All ages,4.7,Male,All,0
All drug overdose deaths,1,Male: Asian or Pacific Islander,2017,All ages,5.2,Male,All,0
All drug overdose deaths,1,Male: Asian or Pacific Islander,2018,All ages,5.7,Male,All,0
All drug overdose deaths,1,Female: White,1999,All ages,4.0,Female,All,0
All drug overdose deaths,1,Female: White,2000,All ages,4.3,Female,All,0
All drug overdose deaths,1,Female: White,2001,All ages,4.9,Female,All,0
All drug overdose deaths,1,Female: White,2002,All ages,6.2,Female,All,0
All drug overdose deaths,1,Female: White,2003,All ages,6.9,Female,All,0
All drug overdose deaths,1,Female: White,2004,All ages,7.5,Female,All,0
All drug overdose deaths,1,Female: White,2005,All ages,8.0,Female,All,0
All drug overdose deaths,1,Female: White,2006,All ages,9.0,Female,All,0
All drug overdose deaths,1,Female: White,2007,All ages,9.8,Female,All,0
All drug overdose deaths,1,Female: White,2008,All ages,10.1,Female,All,0
All drug overdose deaths,1,Female: White,2009,All ages,10.3,Female,All,0
All drug overdose deaths,1,Female: White,2010,All ages,10.9,Female,All,0
All drug overdose deaths,1,Female: White,2011,All ages,11.7,Female,All,0
All drug overdose deaths,1,Female: White,2012,All ages,11.6,Female,All,0
All drug overdose deaths,1,Female: White,2013,All ages,12.1,Female,All,0
All drug overdose deaths,1,Female: White,2014,All ages,12.7,Female,All,0
All drug overdose deaths,1,Female: White,2015,All ages,13.6,Female,All,0
All drug overdose deaths,1,Female: White,2016,All ages,15.2,Female,All,0
All drug overdose deaths,1,Female: White,2017,All ages,16.3,Female,All,0
All drug overdose deaths,1,Female: White,2018,All ages,15.2,Female,All,0
All drug overdose deaths,1,Female: Black or African American,1999,All ages,3.9,Female,All,0
All drug overdose deaths,1,Female: Black or African American,2000,All ages,4.1,Female,All,0
All drug overdose deaths,1,Female: Black or African American,2001,All ages,4.4,Female,All,0
All drug overdose deaths,1,Female: Black or African American,2002,All ages,5.0,Female,All,0
All drug overdose deaths,1,Female: Black or African American,2003,All ages,5.2,Female,All,0
All drug overdose deaths,1,Female: Black or African American,2004,All ages,5.5,Female,All,0
All drug overdose deaths,1,Female: Black or African American,2005,All ages,6.0,Female,All,0
All drug overdose deaths,1,Female: Black or African American,2006,All ages,6.3,Female,All,0
All drug overdose deaths,1,Female: Black or African American,2007,All ages,6.3,Female,All,0
All drug overdose deaths,1,Female: Black or African American,2008,All ages,5.4,Female,All,0
All drug overdose deaths,1,Female: Black or African American,2009,All ages,5.6,Female,All,0
All drug overdose deaths,1,Female: Black or African American,2010,All ages,5.7,Female,All,0
All drug overdose deaths,1,Female: Black or African American,2011,All ages,5.9,Female,All,0
All drug overdose deaths,1,Female: Black or African American,2012,All ages,6.0,Female,All,0
All drug overdose deaths,1,Female: Black or African American,2013,All ages,6.3,Female,All,0
All drug overdose deaths,1,Female: Black or African American,2014,All ages,7.0,Female,All,0
All drug overdose deaths,1,Female: Black or African American,2015,All ages,7.5,Female,All,0
All drug overdose deaths,1,Female: Black or African American,2016,All ages,10.0,Female,All,0
All drug overdose deaths,1,Female: Black or African American,2017,All ages,11.2,Female,All,0
All drug overdose deaths,1,Female: Black or African American,2018,All ages,11.1,Female,All,0
All drug overdose deaths,1,Female: American Indian or Alaska Native,1999,All ages,4.6,Female,All,0
All drug overdose deaths,1,Female: American Indian or Alaska Native,2000,All ages,3.7,Female,All,0
All drug overdose deaths,1,Female: American Indian or Alaska Native,2001,All ages,5.2,Female,All,0
All drug overdose deaths,1,Female: American Indian or Alaska Native,2002,All ages,5.6,Female,All,0
All drug overdose deaths,1,Female: American Indian or Alaska Native,2003,All ages,7.3,Female,All,0
All drug overdose deaths,1,Female: American Indian or Alaska Native,2004,All ages,7.9,Female,All,0
All drug overdose deaths,1,Female: American Indian or Alaska Native,2005,All ages,8.6,Female,All,0
All drug overdose deaths,1,Female: American Indian or Alaska Native,2006,All ages,7.9,Female,All,0
All drug overdose deaths,1,Female: American Indian or Alaska Native,2007,All ages,9.9,Female,All,0
All drug overdose deaths,1,Female: American Indian or Alaska Native,2008,All ages,8.8,Female,All,0
All drug overdose deaths,1,Female: American Indian or Alaska Native,2009,All ages,9.6,Female,All,0
All drug overdose deaths,1,Female: American Indian or Alaska Native,2010,All ages,9.7,Female,All,0
All drug overdose deaths,1,Female: American Indian or Alaska Native,2011,All ages,10.7,Female,All,0
All drug overdose deaths,1,Female: American Indian or Alaska Native,2012,All ages,12.2,Female,All,0
All drug overdose deaths,1,Female: American Indian or Alaska Native,2013,All ages,11.6,Female,All,0
All drug overdose deaths,1,Female: American Indian or Alaska Native,2014,All ages,11.2,Female,All,0
All drug overdose deaths,1,Female: American Indian or Alaska Native,2015,All ages,11.3,Female,All,0
All drug overdose deaths,1,Female: American Indian or Alaska Native,2016,All ages,13.1,Female,All,0
All drug overdose deaths,1,Female: American Indian or Alaska Native,2017,All ages,12.7,Female,All,0
All drug overdose deaths,1,Female: American Indian or Alaska Native,2018,All ages,12.8,Female,All,0
All drug overdose deaths,1,Female: Asian or Pacific Islander,1999,All ages,1.0,Female,All,0
All drug overdose deaths,1,Female: Asian or Pacific Islander,2000,All ages,0.8,Female,All,0
All drug overdose deaths,1,Female: Asian or Pacific Islander,2001,All ages,0.8,Female,All,0
All drug overdose deaths,1,Female: Asian or Pacific Islander,2002,All ages,1.1,Female,All,0
All drug overdose deaths,1,Female: Asian or Pacific Islander,2003,All ages,1.2,Female,All,0
All drug overdose deaths,1,Female: Asian or Pacific Islander,2004,All ages,1.1,Female,All,0
All drug overdose deaths,1,Female: Asian or Pacific Islander,2005,All ages,1.3,Female,All,0
All drug overdose deaths,1,Female: Asian or Pacific Islander,2006,All ages,1.4,Female,All,0
All drug overdose deaths,1,Female: Asian or Pacific Islander,2007,All ages,1.6,Female,All,0
All drug overdose deaths,1,Female: Asian or Pacific Islander,2008,All ages,1.3,Female,All,0
All drug overdose deaths,1,Female: Asian or Pacific Islander,2009,All ages,1.3,Female,All,0
All drug overdose deaths,1,Female: Asian or Pacific Islander,2010,All ages,1.5,Female,All,0
All drug overdose deaths,1,Female: Asian or Pacific Islander,2011,All ages,1.6,Female,All,0
All drug overdose deaths,1,Female: Asian or Pacific Islander,2012,All ages,1.4,Female,All,0
All drug overdose deaths,1,Female: Asian or Pacific Islander,2013,All ages,1.5,Female,All,0
All drug overdose deaths,1,Female: Asian or Pacific Islander,2014,All ages,1.7,Female,All,0
All drug overdose deaths,1,Female: Asian or Pacific Islander,2015,All ages,1.5,Female,All,0
All drug overdose deaths,1,Female: Asian or Pacific Islander,2016,All ages,1.8,Female,All,0
All drug overdose deaths,1,Female: Asian or Pacific Islander,2017,All ages,2.0,Female,All,0
All drug overdose deaths,1,Female: Asian or Pacific Islander,2018,All ages,2.1,Female,All,0
All drug overdose deaths,1,Male: Hispanic or Latino: All races,1999,All ages,8.6,Male,All,0
All drug overdose deaths,1,Male: Hispanic or Latino: All races,2000,All ages,7.1,Male,All,0
All drug overdose deaths,1,Male: Hispanic or Latino: All races,2001,All ages,6.7,Male,All,0
All drug overdose deaths,1,Male: Hispanic or Latino: All races,2002,All ages,8.0,Male,All,0
All drug overdose deaths,1,Male: Hispanic or Latino: All races,2003,All ages,8.3,Male,All,0
All drug overdose deaths,1,Male: Hispanic or Latino: All races,2004,All ages,7.5,Male,All,0
All drug overdose deaths,1,Male: Hispanic or Latino: All races,2005,All ages,8.4,Male,All,0
All drug overdose deaths,1,Male: Hispanic or Latino: All races,2006,All ages,9.1,Male,All,0
All drug overdose deaths,1,Male: Hispanic or Latino: All races,2007,All ages,8.7,Male,All,0
All drug overdose deaths,1,Male: Hispanic or Latino: All races,2008,All ages,8.4,Male,All,0
All drug overdose deaths,1,Male: Hispanic or Latino: All races,2009,All ages,8.2,Male,All,0
All drug overdose deaths,1,Male: Hispanic or Latino: All races,2010,All ages,7.6,Male,All,0
All drug overdose deaths,1,Male: Hispanic or Latino: All races,2011,All ages,8.1,Male,All,0
All drug overdose deaths,1,Male: Hispanic or Latino: All races,2012,All ages,8.5,Male,All,0
All drug overdose deaths,1,Male: Hispanic or Latino: All races,2013,All ages,9.2,Male,All,0
All drug overdose deaths,1,Male: Hispanic or Latino: All races,2014,All ages,9.3,Male,All,0
All drug overdose deaths,1,Male: Hispanic or Latino: All races,2015,All ages,10.9,Male,All,0
All drug overdose deaths,1,Male: Hispanic or Latino: All races,2016,All ages,13.9,Male,All,0
All drug overdose deaths,1,Male: Hispanic or Latino: All races,2017,All ages,15.9,Male,All,0
All drug overdose deaths,1,Male: Hispanic or Latino: All races,2018,All ages,16.6,Male,All,0
All drug overdose deaths,1,Male: Not Hispanic or Latino: White,1999,All ages,8.0,Male,All,0
All drug overdose deaths,1,Male: Not Hispanic or Latino: White,2000,All ages,8.6,Male,All,0
All drug overdose deaths,1,Male: Not Hispanic or Latino: White,2001,All ages,9.6,Male,All,0
All drug overdose deaths,1,Male: Not Hispanic or Latino: White,2002,All ages,11.6,Male,All,0
All drug overdose deaths,1,Male: Not Hispanic or Latino: White,2003,All ages,12.9,Male,All,0
All drug overdose deaths,1,Male: Not Hispanic or Latino: White,2004,All ages,13.7,Male,All,0
All drug overdose deaths,1,Male: Not Hispanic or Latino: White,2005,All ages,14.7,Male,All,0
All drug overdose deaths,1,Male: Not Hispanic or Latino: White,2006,All ages,17.2,Male,All,0
All drug overdose deaths,1,Male: Not Hispanic or Latino: White,2007,All ages,18.0,Male,All,0
All drug overdose deaths,1,Male: Not Hispanic or Latino: White,2008,All ages,18.3,Male,All,0
All drug overdose deaths,1,Male: Not Hispanic or Latino: White,2009,All ages,18.3,Male,All,0
All drug overdose deaths,1,Male: Not Hispanic or Latino: White,2010,All ages,19.0,Male,All,0
All drug overdose deaths,1,Male: Not Hispanic or Latino: White,2011,All ages,20.5,Male,All,0
All drug overdose deaths,1,Male: Not Hispanic or Latino: White,2012,All ages,20.4,Male,All,0
All drug overdose deaths,1,Male: Not Hispanic or Latino: White,2013,All ages,21.4,Male,All,0
All drug overdose deaths,1,Male: Not Hispanic or Latino: White,2014,All ages,23.2,Male,All,0
All drug overdose deaths,1,Male: Not Hispanic or Latino: White,2015,All ages,26.2,Male,All,0
All drug overdose deaths,1,Male: Not Hispanic or Latino: White,2016,All ages,32.7,Male,All,0
All drug overdose deaths,1,Male: Not Hispanic or Latino: White,2017,All ages,35.8,Male,All,0
All drug overdose deaths,1,Male: Not Hispanic or Latino: White,2018,All ages,33.5,Male,All,0
All drug overdose deaths,1,Male: Not Hispanic or Latino: Black,1999,All ages,11.5,Male,All,0
All drug overdose deaths,1,Male: Not Hispanic or Latino: Black,2000,All ages,10.9,Male,All,0
All drug overdose deaths,1,Male: Not Hispanic or Latino: Black,2001,All ages,11.2,Male,All,0
All drug overdose deaths,1,Male: Not Hispanic or Latino: Black,2002,All ages,11.7,Male,All,0
All drug overdose deaths,1,Male: Not Hispanic or Latino: Black,2003,All ages,11.6,Male,All,0
All drug overdose deaths,1,Male: Not Hispanic or Latino: Black,2004,All ages,11.4,Male,All,0
All drug overdose deaths,1,Male: Not Hispanic or Latino: Black,2005,All ages,13.0,Male,All,0
All drug overdose deaths,1,Male: Not Hispanic or Latino: Black,2006,All ages,15.7,Male,All,0
All drug overdose deaths,1,Male: Not Hispanic or Latino: Black,2007,All ages,13.3,Male,All,0
All drug overdose deaths,1,Male: Not Hispanic or Latino: Black,2008,All ages,11.6,Male,All,0
All drug overdose deaths,1,Male: Not Hispanic or Latino: Black,2009,All ages,11.1,Male,All,0
All drug overdose deaths,1,Male: Not Hispanic or Latino: Black,2010,All ages,10.5,Male,All,0
All drug overdose deaths,1,Male: Not Hispanic or Latino: Black,2011,All ages,11.3,Male,All,0
All drug overdose deaths,1,Male: Not Hispanic or Latino: Black,2012,All ages,11.6,Male,All,0
All drug overdose deaths,1,Male: Not Hispanic or Latino: Black,2013,All ages,13.3,Male,All,0
All drug overdose deaths,1,Male: Not Hispanic or Latino: Black,2014,All ages,14.2,Male,All,0
All drug overdose deaths,1,Male: Not Hispanic or Latino: Black,2015,All ages,17.3,Male,All,0
All drug overdose deaths,1,Male: Not Hispanic or Latino: Black,2016,All ages,24.7,Male,All,0
All drug overdose deaths,1,Male: Not Hispanic or Latino: Black,2017,All ages,30.8,Male,All,0
All drug overdose deaths,1,Male: Not Hispanic or Latino: Black,2018,All ages,32.0,Male,All,0
All drug overdose deaths,1,Male: Not Hispanic or Latino: American Indian or Alaska Native,1999,All ages,6.7,Male,All,0
All drug overdose deaths,1,Male: Not Hispanic or Latino: American Indian or Alaska Native,2000,All ages,6.7,Male,All,0
All drug overdose deaths,1,Male: Not Hispanic or Latino: American Indian or Alaska Native,2001,All ages,7.5,Male,All,0
All drug overdose deaths,1,Male: Not Hispanic or Latino: American Indian or Alaska Native,2002,All ages,10.0,Male,All,0
All drug overdose deaths,1,Male: Not Hispanic or Latino: American Indian or Alaska Native,2003,All ages,12.2,Male,All,0
All drug overdose deaths,1,Male: Not Hispanic or Latino: American Indian or Alaska Native,2004,All ages,14.7,Male,All,0
All drug overdose deaths,1,Male: Not Hispanic or Latino: American Indian or Alaska Native,2005,All ages,14.9,Male,All,0
All drug overdose deaths,1,Male: Not Hispanic or Latino: American Indian or Alaska Native,2006,All ages,17.6,Male,All,0
All drug overdose deaths,1,Male: Not Hispanic or Latino: American Indian or Alaska Native,2007,All ages,14.5,Male,All,0
All drug overdose deaths,1,Male: Not Hispanic or Latino: American Indian or Alaska Native,2008,All ages,19.6,Male,All,0
All drug overdose deaths,1,Male: Not Hispanic or Latino: American Indian or Alaska Native,2009,All ages,21.5,Male,All,0
All drug overdose deaths,1,Male: Not Hispanic or Latino: American Indian or Alaska Native,2010,All ages,19.0,Male,All,0
All drug overdose deaths,1,Male: Not Hispanic or Latino: American Indian or Alaska Native,2011,All ages,20.5,Male,All,0
All drug overdose deaths,1,Male: Not Hispanic or Latino: American Indian or Alaska Native,2012,All ages,20.1,Male,All,0
All drug overdose deaths,1,Male: Not Hispanic or Latino: American Indian or Alaska Native,2013,All ages,19.9,Male,All,0
All drug overdose deaths,1,Male: Not Hispanic or Latino: American Indian or Alaska Native,2014,All ages,25.0,Male,All,0
All drug overdose deaths,2,All persons,2006,All ages,11.5,All,All,0
All drug overdose deaths,1,Male: Not Hispanic or Latino: American Indian or Alaska Native,2015,All ages,25.8,Male,All,0
All drug overdose deaths,1,Male: Not Hispanic or Latino: American Indian or Alaska Native,2016,All ages,28.3,Male,All,0
All drug overdose deaths,1,Male: Not Hispanic or Latino: American Indian or Alaska Native,2017,All ages,31.5,Male,All,0
All drug overdose deaths,1,Male: Not Hispanic or Latino: American Indian or Alaska Native,2018,All ages,34.0,Male,All,0
All drug overdose deaths,1,Male: Not Hispanic or Latino: Asian or Pacific Islander,1999,All ages,1.4,Male,All,0
All drug overdose deaths,1,Male: Not Hispanic or Latino: Asian or Pacific Islander,2000,All ages,1.3,Male,All,0
All drug overdose deaths,1,Male: Not Hispanic or Latino: Asian or Pacific Islander,2001,All ages,1.5,Male,All,0
All drug overdose deaths,1,Male: Not Hispanic or Latino: Asian or Pacific Islander,2002,All ages,1.8,Male,All,0
All drug overdose deaths,1,Male: Not Hispanic or Latino: Asian or Pacific Islander,2003,All ages,1.7,Male,All,0
All drug overdose deaths,1,Male: Not Hispanic or Latino: Asian or Pacific Islander,2004,All ages,1.9,Male,All,0
All drug overdose deaths,1,Male: Not Hispanic or Latino: Asian or Pacific Islander,2005,All ages,2.2,Male,All,0
All drug overdose deaths,1,Male: Not Hispanic or Latino: Asian or Pacific Islander,2006,All ages,2.2,Male,All,0
All drug overdose deaths,1,Male: Not Hispanic or Latino: Asian or Pacific Islander,2007,All ages,2.1,Male,All,0
All drug overdose deaths,1,Male: Not Hispanic or Latino: Asian or Pacific Islander,2008,All ages,2.1,Male,All,0
All drug overdose deaths,1,Male: Not Hispanic or Latino: Asian or Pacific Islander,2009,All ages,2.6,Male,All,0
All drug overdose deaths,1,Male: Not Hispanic or Latino: Asian or Pacific Islander,2010,All ages,2.4,Male,All,0
All drug overdose deaths,1,Male: Not Hispanic or Latino: Asian or Pacific Islander,2011,All ages,3.0,Male,All,0
All drug overdose deaths,1,Male: Not Hispanic or Latino: Asian or Pacific Islander,2012,All ages,3.1,Male,All,0
All drug overdose deaths,1,Male: Not Hispanic or Latino: Asian or Pacific Islander,2013,All ages,3.2,Male,All,0
All drug overdose deaths,1,Male: Not Hispanic or Latino: Asian or Pacific Islander,2014,All ages,3.2,Male,All,0
All drug overdose deaths,1,Male: Not Hispanic or Latino: Asian or Pacific Islander,2015,All ages,4.0,Male,All,0
All drug overdose deaths,1,Male: Not Hispanic or Latino: Asian or Pacific Islander,2016,All ages,4.6,Male,All,0
All drug overdose deaths,1,Male: Not Hispanic or Latino: Asian or Pacific Islander,2017,All ages,5.3,Male,All,0
All drug overdose deaths,1,Male: Not Hispanic or Latino: Asian or Pacific Islander,2018,All ages,5.4,Male,All,0
All drug overdose deaths,1,Female: Hispanic or Latino: All races,1999,All ages,2.2,Female,All,0
All drug overdose deaths,2,Male,2016,All ages,26.1,Male,All,0
All drug overdose deaths,1,Female: Hispanic or Latino: All races,2000,All ages,2.0,Female,All,0
All drug overdose deaths,1,Female: Hispanic or Latino: All races,2001,All ages,2.2,Female,All,0
All drug overdose deaths,1,Female: Hispanic or Latino: All races,2002,All ages,2.7,Female,All,0
